uuid,adm4_pcode,date,college_nearest,community_centre_nearest,school_nearest,shelter_nearest,town_hall_nearest,university_nearest,location1.adm4_en,location1.brgy_total_area
osmpa001d4d,ph063022024,01/01/2022,105.9092904,2463.082677,0,0,1612.369528,3231.953938,Buhang,1.3994
osmpa001e81,ph063022088,01/01/2022,215.6933981,305.1063898,140.2037435,830.7583555,0,722.7847164,Lapuz Sur,0.1232
osmpa001e80,ph063022202,01/01/2022,341.3543074,146.856704,51.95692993,869.0085181,418.8215939,452.1799283,Rizal (La Paz),0.0778
osmpa001e7f,ph063022185,01/01/2022,370.5113032,644.2985982,288.1393986,799.9657503,593.2277212,167.4090785,Timawa Tanza I,0.0181
osmpa001e7e,ph063022146,01/01/2022,0,63.38726497,0,186.9662251,334.4308163,446.1191474,Sampaguita,0.1348
osmpa001e7d,ph063022061,01/01/2022,1097.978832,1453.130259,82.6859579,97.54925947,596.1770964,2014.705288,General Hughes-Montes,0.0908
osmpa001e7c,ph063022046,01/01/2022,477.018352,100.5507761,0,1177.364353,551.8401286,430.2749034,Divinagracia,0.0896
osmpa001e7b,ph063022151,01/01/2022,0,0,0,439.7941787,150.6201924,2225.687162,San Isidro (Jaro),1.5071
osmpa001e7a,ph063022166,01/01/2022,4611.765054,599.2563543,0,3762.557524,432.8142672,4670.265508,Santo Domingo,0.4078
osmpa001e79,ph063022009,01/01/2022,626.7973794,1120.386374,0,796.6112621,61.39294624,994.8045442,Bakhaw,0.2456
osmpa001e78,ph063022163,01/01/2022,594.3660423,1124.883113,0,918.1068712,417.9844344,850.3519559,San Vicente,0.1289
osmpa001e77,ph063022036,01/01/2022,1216.447792,838.4613841,69.47270763,1273.521071,298.894629,1359.950373,Compania,0.2227
osmpa001e76,ph063022004,01/01/2022,1412.532547,168.5449065,5.995174718,91.90744652,178.8522278,1339.260964,Airport (Tabucan Airport),1.0117
osmpa001e75,ph063022103,01/01/2022,0,52.49833391,0,767.4604724,1038.764328,166.5028932,Magsaysay Village,0.2994
osmpa001e74,ph063022133,01/01/2022,429.0553245,262.1820061,16.28733653,1020.423723,84.03243727,1008.615737,Punong-Lapuz,0.0521
osmpa001e73,ph063022198,01/01/2022,106.8715429,212.8508691,56.08393994,481.2272152,609.2510824,100.131811,Luna (La Paz),0.1097
osmpa001e72,ph063022070,01/01/2022,407.1237065,18.80023308,24.72260277,0,517.1348497,41.62656625,Inday,0.1466
osmpa001e71,ph063022072,01/01/2022,1921.625526,1192.952346,714.9078935,1681.233156,1510.830767,1762.489366,Ingore,2.832
osmpa001e70,ph063022067,01/01/2022,1760.804243,1357.965706,0,887.4570438,1060.483461,3883.077566,Hibao-An Sur,2.1605
osmpa001dea,ph063022195,01/01/2022,956.2487921,1194.350134,0,310.2105981,515.817891,1942.776786,Zamora-Melliza,0.1539
osmpa001de9,ph063022003,01/01/2022,557.2714667,152.6017742,114.6795246,1084.359548,343.2887965,655.2730494,Aguinaldo,0.0652
osmpa001e6b,ph063022192,01/01/2022,19.18257382,644.9803992,25.66478098,819.9695502,756.83658,76.53352901,West Timawa,0.1052
